,Banana Fish,,Arid,Commie,No,"Arid is LowPower+Commie/Astral
Commie has previews spliced in",
,BanG Dream,,S3: Untagged AB-RMX,S3: Erai-raws,No,AB-RMX is YUKIN4⁎ and HS,
,Barakamon,,Datte13,,Yes,Datte13 is Yousei+MTBB,https://slow.pics/c/Y4rkepoL
,Bartender,,Kawaiika-Raws,,No,,
,Beastars,,S1: NH,"S1: UWU
S2: LostYears (WEB)",Yes | No,UWU is on AB. Seicher+PAS. NH is UWU with dual audio. LostYears is PAS with dual audio.,
,Beatless,,Pog42,,No,Pog42 is Beatrice+Asuka,
,Beautiful Bones: Sakurako's Investigation,"Sakurako-san no Ashimoto ni wa 
Shitai ga Umatteiru",Crow,,No,Crow is Beatrice+FFF,https://slow.pics/c/AZtt1k1P
,Beelzebub,,EST,tlacatl6,No,EST is BDRemux with tlacatl6 subs,
,Berserk (1997),Kenpuu Denki Berserk,Arid,,Yes,Arid is GRAINY+Dekinai,
,Beyond the Boundary ,Kyoukai no Kanata,"S1+OVA: CyC
SP: SBR
ONA: OnintzaLibre",,Yes,"CyC is Beatrice+SBR
SBR specials are on XDCC
OnintzaLibre is Beatrice+Mezashite/Mori",
,Big Windup!,Ookiku Furikabutte,Commie,,No,,
,Black Bullet,,CBT,,Yes,,
,Black Clover,,BDRemux,iAHD,,BDRemuxes are on AB,
,Black Lagoon,,Legion,,Yes,Legion is Beatrice (S1)/Salender (S2) with OZC and RisingSun subs,
,Blade Dance of Elementalers,Seirei Tsukai no Blade Dance,Thighs,FFF,No,"It's got thighs, what else could you possibly need? 
(Those who need FLAC audio can grab it from FFF, or bug Scrad for it).",
,Blade Runner: Black Out 2022 ,,SCY,,Yes,,
,Blast of Tempest,Zetsuen no Tempest,Beatrice-Raws,,No,Has AnimeNOW subs,
,Bleach,,001-167: ASC,001-167: ParanDark/CBT,Yes | No,ASC is on AB. Improved Parandark and dual audio ,
,Blend S,,Mysteria ,,No,,
,Blood Blockade Battlefront,Kekkai Sensen,S1: Arid,"S1: CTR
S2: Baws",Yes,"Arid is Akatomba+Vivid. CTR is Shujinowski (Vivid) with dual audio
Baws is neko+CR. No good encode for S2.",S2: https://slow.pics/c/dC9Trjr1
,Blood Lad,,MK,,Yes,,
,Blood-C,,SCY,,Yes,,
,Bloom Into You,Yagate Kimi ni Naru,WSE,Exp,Yes | No,Beatrice+Asenshi. WBDP is the same but uses modified Asenshi,
,Blue Exorcist,Ao no Exorcist,"S1: Raizel
S2: MK-SCY | OVA: BlurayDesuYo",,Yes,"Raizel is on XDCC too. Uses own encode+Coalgirls
MK-SCY is SCY+DDY",
,Blue Sonnet,Akai Kiba: Blue Sonnet,Orphan-Beatrice,,No,,
,Blue Spring Ride,Ao Haru Ride,"GSK_kun
OVAs: RSB",,No,,
,Boarding School Juliet,Kishuku Gakkou no Juliet,YURI,,No,YURI is moscowgolem+Astral,
,"BOFURI: I Don't Want to Get Hurt, so I'll 
Max Out My Defense.","Itai no wa Iya nano de Bougyoryoku ni 
Kyokufuri Shitai to Omoimasu.",NH,,Yes,Dual audio remux of Kawaiika + Astral,
,Boku no Boukuugou,,Orphan,,No,,
,Bokurano,,Dekinai,,No,Yurasyk+Triad edited,
,Boruto: Naruto Next Generations,,InoBestGirl,,Yes,,
,Brain Powerd,,Iznjie Biznjie,,No,,
,Brand New Animal,BNA,LostYears (WEB),,Yes,LostYears is remux of Asenshi with Netflix English audio.,
,Btooom!,,Kametsu,,Yes,,
,Bubblegum Crisis,,Iznjie Biznjie,,Yes,,https://slow.pics/c/3aYrVxNe
,Bungaku Shoujo,,Kulot,,No,Kulot is Beatrice+Monokage/Doki,
,Bungo Stray Dogs,Bungou Stray Dogs,"S1, S2: KH
S3: Impatience
Wan: Impatience (WEB)",,Yes,S3 of KH has a few issues,
,Bunny Drop,Usagi Drop,Pog42,Zurako,No,Both SCY and Kawaiika are good enough. See comp and decide. ,https://slow.pics/c/6b74Txsd
,Call Me Tonight,,Orphan,,No,,
,Campione!,"Campione!: Matsurowanu Kamigami 
to Kamigoroshi no Maou",YURI,KH,Yes,YURI is sergey+FFF. KH is Salender+FFF.,
,Cardcaptor Sakura,,Kinomoto,,Yes,,
,Carnival Phantasm,,YURI,,No,YURI is Yousei+UTW,
,Carole and Tuesday,,Arid,,Yes ,Arid is VCB+PAS,
,Casshern Sins,,Crow,,No,Crow is Yurasyk+Kametsu,
,Castle Town Dandelion,Joukamachi no Dandelion,SCY,,Yes,,
,Cat Planet Cuties,Asobi ni Iku yo!,YURI,,Yes,YURI is VCB+Commie/SubDESU,https://slow.pics/c/AvgHRgIf
,"Cautious Hero: The Hero Is Overpowered 
but Overly Cautious","Shinchou Yuusha: Kono Yuusha ga Ore 
Tueee Kuse ni Shinchou Sugiru",NH,GHS,Yes | No,,
,Celestial Method ,Sora no Method,Drag,,No,Drag is sergey+LNS,
,Cells at Work!,Hataraku Saibou!,"S1: CTR
S2: Butter :v (WEB)
Specials: Asakura","S1: :v (WEB)

",Yes | No,"CTR is on nandato. mottoj with dual audio.
:v has dehardsubbed infoboxes",
,Chaika -The Coffin Princess-,Hitsugi no Chaika,CTR (See note),,Yes,Grab fixed ep 3 from nandato,
,ChäoS;Child,Chaos;Child,kmplx,,Yes,kmplx is VCB+pgs,
,ChäoS;HEAd,Chaos;Head,,CBD,Yes,Based on Tsundere with some modifications,
